ctlabel,EP_NOHSDP,EP_MINRTY,500_Cities_CTTract_BPHIGH_CrudePrev,500_Cities_CTTract_CHD_CrudePrev,500_Cities_CTTract_COPD_CrudePrev,500_Cities_CTTract_DIABETES_CrudePrev,500_Cities_CTTract_STROKE_CrudePrev,ACSST5Y2018.S2401_occupation_PERC_Management,ACSST5Y2018.S2401_occupation_PERC_Service,Factor1
2.01,0,0,0.333727,0.0789905,0.05972,0.1118929,0.0362592,0,0,0.6205896
2.02,0,0,0.338708,0.0762026,0.0559875,0.0956403,0.0332376,0,0,0.599776
6,0,0,0.3556434,0.0910714,0.0634525,0.1225196,0.0430578,0,0,0.6757447
7,0,0,0.0966314,0.0102223,0.011944,0.0137522,0.0052878,0,0,0.1378377
8,0,0,0.3128068,0.0724854,0.050762,0.1037666,0.0332376,0,0,0.5730584
9,0,0,0.1135668,0.0139395,0.013437,0.0162526,0.0060432,0,0,0.1632391
10.01,0,0,0.2759474,0.0566873,0.0350855,0.0512582,0.0211512,0,0,0.4401296
10.02,0,0,0.3416966,0.0780612,0.056734,0.1106427,0.0355038,0,0,0.6226383
12,0,0,0.2968676,0.0678389,0.046283,0.0712614,0.0271944,0,0,0.5094453
13,0,0,0.0916504,0.009293,0.0097045,0.012502,0.0045324,0,0,0.1276823
14.01,0,0,0.2570196,0.0501822,0.0320995,0.0475076,0.018885,0,0,0.4056939
14.02,0,0,0.2719626,0.0594752,0.0395645,0.0768873,0.0256836,0,0,0.4735732
15.01,0,0,0.2500462,0.0492529,0.0320995,0.0512582,0.0196404,0,0,0.4022972
15.02,0,0,0.0856732,0.009293,0.0111975,0.0118769,0.0045324,0,0,0.122573
16,0,0,0.2869056,0.0613338,0.0380715,0.0900144,0.0279498,0,0,0.5042751
18,0,0,0.2410804,0.046465,0.032846,0.0675108,0.0203958,0,0,0.408298
20,0,0,0.3506624,0.0808491,0.061213,0.1181439,0.03777,0,0,0.6486384
21,0,0,0.1314984,0.0167274,0.0156765,0.0200032,0.007554,0,0,0.1914595
22.01,0,0,0.2898942,0.0585459,0.041804,0.0825132,0.026439,0,0,0.4991963
22.02,0,0,0.1813084,0.0269497,0.0216485,0.0381311,0.0120864,0,0,0.2801241
24,0,0,0.3546472,0.083637,0.070171,0.1168937,0.0400362,0,0,0.6653851
25,0,0,0.4014686,0.1059402,0.0753965,0.1425228,0.0506118,0,0,0.7759399
26.01,0,0,0.2380918,0.0418185,0.0350855,0.0612598,0.018885,0,0,0.3951406
26.02,0,0,0.1952552,0.0315962,0.023888,0.0418817,0.0135972,0,0,0.3062183
27,0,0,0.2898942,0.0594752,0.032846,0.0768873,0.0249282,0,0,0.4840309
28,0,0,0.259012,0.0501822,0.040311,0.0668857,0.022662,0,0,0.4390529
29,0,0,0.3207764,0.0715561,0.0455365,0.0975156,0.0324822,0,0,0.5678668
30.01,0,0,0.1514224,0.0223032,0.0186625,0.0318801,0.0098202,0,0,0.2340884
30.02,0,0,0.2281298,0.0436771,0.0320995,0.0506331,0.0181296,0,0,0.3726691
31,0,0,0.1185478,0.0167274,0.016423,0.0225036,0.007554,0,0,0.1817558
32,0,0,0.2002362,0.0362427,0.025381,0.0368809,0.0143526,0,0,0.3130934
33,0,0,0.1633768,0.0241618,0.019409,0.0262542,0.0098202,0,0,0.243022
34,0,0,0.169354,0.027879,0.0261275,0.0331303,0.0120864,0,0,0.2685772
36.01,0,0,0.244069,0.0455357,0.0365785,0.0637602,0.0203958,0,0,0.4103392
36.02,0,0,0.1932628,0.0325255,0.02986,0.0393813,0.0143526,0,0,0.3093822
37,0,0,0.184297,0.0306669,0.023888,0.0300048,0.0120864,0,0,0.2809431
38,0,0,0.1623806,0.0260204,0.022395,0.0293797,0.0105756,0,0,0.2507513
39,0,0,0.1982438,0.0306669,0.0231415,0.0337554,0.0120864,0,0,0.297894
40,0,0,0.1324946,0.0195153,0.0171695,0.0218785,0.0083094,0,0,0.1993673
41,0,0,0.2420766,0.0483236,0.0320995,0.0662606,0.0203958,0,0,0.4091561
42,0,0,0.1165554,0.0167274,0.017916,0.0200032,0.007554,0,0,0.178756
43,0,0,0.1833008,0.0306669,0.0231415,0.0368809,0.0120864,0,0,0.2860765
44,0,0,0.1912704,0.0315962,0.023888,0.0337554,0.0128418,0,0,0.2933518
45,0,0,0.19924,0.0334548,0.0276205,0.037506,0.0135972,0,0,0.3114185
47,0,0,0.1833008,0.0297376,0.0216485,0.0306299,0.011331,0,0,0.2766478
48,0,0,0.174335,0.0288083,0.0231415,0.0306299,0.011331,0,0,0.2682457
49,0,0,0.1912704,0.0334548,0.0246345,0.0318801,0.0120864,0,0,0.2933262
50,0,0,0.179316,0.0288083,0.0216485,0.0293797,0.011331,0,0,0.2704835
52,0,0,0.1524186,0.0241618,0.019409,0.0243789,0.0090648,0,0,0.2294331
54,0,0,0.1952552,0.0325255,0.0231415,0.0331303,0.0120864,0,0,0.2961389
55.01,0,0,0.194259,0.0325255,0.0216485,0.0318801,0.0120864,0,0,0.2923995
55.02,0,0,0.1753312,0.027879,0.022395,0.0300048,0.011331,0,0,0.266941
56,0,0,0.1823046,0.0288083,0.0246345,0.0331303,0.0120864,0,0,0.2809641
57,0,0,0.1912704,0.0325255,0.020902,0.0300048,0.0120864,0,0,0.2867891
58,0,0,0.1165554,0.0148688,0.013437,0.0181279,0.0060432,0,0,0.1690323
59,0,0,0.19924,0.0362427,0.025381,0.0325052,0.0135972,0,0,0.3069661
60,0,0,0.2480538,0.0492529,0.028367,0.0400064,0.0181296,0,0,0.3838097
61,0,0,0.1454452,0.0232325,0.0201555,0.0231287,0.0090648,0,0,0.2210267
62,0,0,0.2151792,0.0381013,0.0306065,0.0462574,0.0158634,0,0,0.3460078
63,0,0,0.2131868,0.0390306,0.0261275,0.0350056,0.0143526,0,0,0.3277031
64,0,0,0.1753312,0.0288083,0.022395,0.0300048,0.011331,0,0,0.2678703
65,0,0,0.1434528,0.0232325,0.019409,0.0231287,0.0090648,0,0,0.2182878
66,0,0,0.2032248,0.0353134,0.0291135,0.0418817,0.015108,0,0,0.3246414
67,0,0,0.159392,0.0250911,0.0186625,0.0243789,0.0098202,0,0,0.2373447
68,0,0,0.14943,0.0232325,0.019409,0.025004,0.0098202,0,0,0.2268957
69,0,0,0.1424566,0.0195153,0.0171695,0.0218785,0.0083094,0,0,0.2093293
70,0,0,0.159392,0.0260204,0.0186625,0.0268793,0.0098202,0,0,0.2407744
71,0,0,0.1882818,0.0325255,0.023888,0.0306299,0.0120864,0,0,0.2874116
72,0,0,0.1414604,0.0223032,0.0186625,0.0231287,0.0090648,0,0,0.2146196
73,0,0,0.1753312,0.0288083,0.0201555,0.0281295,0.0105756,0,0,0.2630001
74,0,0,0.1404642,0.0204446,0.017916,0.0231287,0.0090648,0,0,0.2110183
75,0,0,0.1862894,0.0297376,0.022395,0.0300048,0.011331,0,0,0.2797578
76,0,0,0.1454452,0.0223032,0.0171695,0.0275044,0.0090648,0,0,0.2214871
77,0,0,0.1852932,0.0306669,0.0216485,0.0300048,0.011331,0,0,0.2789444
79,0,0,0.2181678,0.0390306,0.026874,0.0368809,0.015108,0,0,0.3360613
81,0,0,0.1852932,0.0306669,0.0231415,0.0325052,0.011331,0,0,0.2829378
83,0,0,0.219164,0.0381013,0.0306065,0.0487578,0.0158634,0,0,0.352493
