ctlabel,EP_POV,EP_UNEMP,EP_NOHSDP,EP_AGE65,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_UNINSUR,ARTHRITIS_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,occupation_PERC_Management,occupation_PERC_Service,occupation_PERC_Sales,occupation_PERC_Natural,occupation_PERC_Production,PERC_MALE,landusejoin_sum1,landusejoin_sum23,landusejoin_sum4,landusejoin_sum5,landusejoin_sum6,landusejoin_sum7,landusejoin_sum8,landusejoin_sum9,landusejoin_sum10,landusejoin_sum11,maypercpos_Predicted,maypercpos_StdError,maycaserate_Predicted,maycaserate_StdError,maydeathrate_Predicted,maydeathrate_StdError,augpercpos_Predicted,augpercpos_StdError,augcaserate_Predicted,augcaserate_StdError,augdeathrate_Predicted,augdeathrate_StdError,wt_aug6_CASE_RATE,wt_aug6_DEATH_RATE,wt_aug6_POSITIVE,wt_may18_CASE_RATE,wt_may18_DEATH_RATE,wt_may18_POSITIVE
2.01,34.4,4.1,51.8,18.4,17.2,16.6,95.5,36.2,93.7,0,16.2,90.5,0.6,4.7,21.3,33.5,5.2,9.5,8.5,8,22.6,17.9,20.5,4.8,24.7887,33.8028,33.0516,1.6901,6.6667,42.963,0,21.39921981,6.15151959,0,0,17.35420271,19.73368538,1.974639745,0.910730642,0.885116131,33.24242982,0.312747393,1284.339958,23.13924964,173.2641291,3.739769673,9.617419029,0.144033364,1617.936097,25.57288375,198.6122652,3.614729529,1637.67,208.45,9.6,1270.27,179.79,33.8
2.02,27.9,13.8,28.9,19.6,18.8,13.3,81.4,17.1,95.2,0,5.8,79,4.4,1.6,23.7,34,7,9.2,8.2,7.5,16.8,15.3,20.3,4.4,35.3539,35.1168,21.6729,2.3366,5.5198,43.3282,0.11924705,33.9999343,1.111072631,1.047948163,0,7.867035431,4.385774762,32.17142541,0,0,34.18129249,0.440222065,1354.865309,33.78011478,174.8291673,5.128219727,10.03069884,0.210268857,1723.278115,37.24191919,202.1766965,5.067067338,1637.668229,208.4497161,9.599977283,1270.268804,179.7897025,33.79994056
6,39.5,8.3,55.4,27.9,21.8,4.7,95.3,49.8,91.6,0,9.2,87,1.8,7.9,22.6,35.7,5.7,9,9.8,8.5,21.8,19.6,16.7,5.7,29.6464,36.9445,20.1103,1.1028,12.1959,47.1483,0,8.63147545,43.99499924,1.093754872,0.293835058,19.0131503,9.820539116,0.678296965,1.473142949,0.569585491,31.80272716,0.351896323,1211.535702,26.58780691,161.7848611,4.148987021,8.942192587,0.165499371,1521.848347,29.34158915,185.4746183,4.057922832,1637.654109,208.4466058,9.599897069,1270.261104,179.7872329,33.79970871
7,9.5,3.1,1.8,2.4,1.3,3.1,30.6,0,99.6,0,12.3,85.5,0.2,3.1,6.4,9.7,2.4,7.9,1.1,1.6,9.6,2.2,11.6,0.7,71.494,3.3988,23.7772,1.33,0,42.8198,0,6.05817855,13.27578902,35.37745715,0,14.90994759,1.586962606,0.209749598,0,0,17.23055994,0.030765454,661.4429519,2.320282728,16.20200033,0.363518161,5.223737937,0.014442911,916.9189141,2.560820025,32.90092188,0.354876797,1061.567938,44.19986979,5.652294239,765.0073679,32.20672897,19.28789254
8,26.5,5.4,55.7,28.1,10.4,6.2,91.8,52.5,90.9,0,16.7,84,0.2,7.8,19.2,31.4,5.1,7.8,7.8,6.8,20.1,16.6,11.8,4.4,28.348,31.3745,21.6141,3.7579,14.9054,47.6148,0,2.019307834,30.74759788,6.72868111,3.36985339,5.102956036,2.7064492,17.36563145,2.800164135,3.842564585,36.72978101,0.232579327,1441.562624,17.19297542,179.8718728,2.785709787,9.822513241,0.107019982,1652.55985,19.00147236,208.4420319,2.688678628,1579.728836,196.0737602,9.224686159,1237.831944,169.7005915,32.73787702
9,3.9,2.6,0.9,3,3.9,4.4,35.2,0.6,92.9,0,5.3,80.8,0.2,3.2,7.9,11.4,3.2,7.5,1.5,1.8,9,2.6,12.1,0.8,75.215,3.5966,20.2502,0.1564,0.7819,54.766,0,0.122603199,6.773733568,42.73811942,0,35.54411275,4.020089248,4.253164075,0.493353592,1.526870042,20.21315849,0.118419373,775.235761,8.954940214,24.75869407,1.396161468,5.513559442,0.055741227,1021.03624,9.881621599,34.4254509,1.365506485,1065.084326,27.18475328,5.64738733,788.3887579,26.49410277,21.45608733
10.01,4.8,7.9,3.4,27.6,13.7,2.2,30.2,1.9,99.4,0,2.6,57.8,0,0,21.9,27.7,9.1,7.9,6.1,4.7,9.8,8.2,15.1,2.8,69.3277,13.0252,9.944,4.6218,3.0812,58.9003,0,35.38126814,0,0,0,6.010913598,0,24.10383041,0,0,33.16816934,0.609198793,1391.883815,46.57654491,159.0653561,7.112312941,9.869267224,0.289921953,1742.546789,51.36306326,182.0180667,7.014663736,1637.67,208.45,9.6,1270.27,179.79,33.8
10.02,36.3,9.8,36.5,23.8,25.8,19.8,97.9,23.9,95.5,0,1.6,86,7.3,7.1,22.5,34.3,5.8,9.9,8.4,7.6,19.1,17.7,24.7,4.7,30.4402,39.9256,14.7551,3.5338,11.3453,43.857,0,55.45056427,0,0,0,0,1.318290559,52.99635247,0,0.004837369,33.70140215,0.339541412,1384.90984,23.82369563,178.170224,4.188593951,9.870571214,0.14829379,1749.44409,26.4337,205.0857301,3.945170346,1637.660798,208.4468483,9.599906143,1270.264738,179.7874873,33.79972466
12,20.2,4.1,20.8,23,18.4,4.5,47.8,16.6,99.6,0,2.6,71.1,1.4,2.3,21.8,29.8,7.6,8.5,7.3,6.2,14.1,11.4,17.4,3.6,58.1736,16.2909,16.46,0.9583,8.1172,52.6683,0.207069465,29.51696027,3.48364255,2.280934416,0,11.4494176,6.152048412,5.761958633,4.777463678,0.217584034,34.33470244,0.180668534,1311.727926,13.38251615,185.6816221,2.15921892,9.857727353,0.083301267,1685.264006,14.78873429,214.5025438,2.087941683,1637.67,208.45,9.6,1270.27,179.79,33.8
13,3.8,2.3,0.4,1.4,1.6,2.6,38.6,1.8,96.5,0,9.6,82.7,0,3.3,6,9.2,2.4,7.4,1,1.3,7.6,2,10.8,0.6,81.4202,3.3679,13.7805,0.5333,0.8981,43.9534,0,3.778892327,6.108219077,38.16842128,0,0.13993529,5.88100882,2.052817095,7.393740184,0.333770381,17.14107334,0.00930236,675.8516258,0.70002284,0.336774316,0.110112331,5.335052131,0.004357386,1108.599804,0.772699041,0.675857285,0.107331015,1072.695238,7.065068306,5.235694831,678.3258696,7.064531078,17.52735432
