ctlabel,EP_NOHSDP,EP_MINRTY,500_Cities_CTTract_BPHIGH_CrudePrev,500_Cities_CTTract_CHD_CrudePrev,500_Cities_CTTract_COPD_CrudePrev,500_Cities_CTTract_DIABETES_CrudePrev,500_Cities_CTTract_STROKE_CrudePrev,ACSST5Y2018.S2401_occupation_PERC_Management,ACSST5Y2018.S2401_occupation_PERC_Service
2.01,51.8,95.5,33.5,8.5,8,17.9,4.8,24.7887,33.8028
2.02,28.9,81.4,34,8.2,7.5,15.3,4.4,35.3539,35.1168
6,55.4,95.3,35.7,9.8,8.5,19.6,5.7,29.6464,36.9445
7,1.8,30.6,9.7,1.1,1.6,2.2,0.7,71.494,3.3988
8,55.7,91.8,31.4,7.8,6.8,16.6,4.4,28.348,31.3745
9,0.9,35.2,11.4,1.5,1.8,2.6,0.8,75.215,3.5966
10.01,3.4,30.2,27.7,6.1,4.7,8.2,2.8,69.3277,13.0252
10.02,36.5,97.9,34.3,8.4,7.6,17.7,4.7,30.4402,39.9256
12,20.8,47.8,29.8,7.3,6.2,11.4,3.6,58.1736,16.2909
13,0.4,38.6,9.2,1,1.3,2,0.6,81.4202,3.3679
14.01,5,31.4,25.8,5.4,4.3,7.6,2.5,77.0668,6.795
14.02,26.5,68.8,27.3,6.4,5.3,12.3,3.4,47.5,29.3243
15.01,10,41.3,25.1,5.3,4.3,8.2,2.6,71.6323,9.271
15.02,2.8,30.3,8.6,1,1.5,1.9,0.6,73.5305,5.1657
16,32.2,80.9,28.8,6.6,5.1,14.4,3.7,52.287,24.1852
18,37.9,73.4,24.2,5,4.4,10.8,2.7,52.3644,22.9017
20,32.1,98.3,35.2,8.7,8.2,18.9,5,30.2128,33.7021
21,3.6,21.9,13.2,1.8,2.1,3.2,1,73.4157,3.8391
22.01,19.8,82.2,29.1,6.3,5.6,13.2,3.5,39.3881,25.3537
22.02,7.1,42.9,18.2,2.9,2.9,6.1,1.6,67.7225,13.4992
24,39,98.3,35.6,9,9.4,18.7,5.3,28.2027,37.5717
25,48.6,99.1,40.3,11.4,10.1,22.8,6.7,23.0006,39.9256
26.01,23.8,75.6,23.9,4.5,4.7,9.8,2.5,42.1191,18.3975
26.02,12.3,40.3,19.6,3.4,3.2,6.7,1.8,68.3821,10.3335
27,24.6,82.9,29.1,6.4,4.4,12.3,3.3,48.1752,17.6642
28,15.5,69,26,5.4,5.4,10.7,3,46.282,18.266
29,46.7,88.3,32.2,7.7,6.1,15.6,4.3,42.8082,25.4892
30.01,7.5,44.1,15.2,2.4,2.5,5.1,1.3,55.5747,11.1493
30.02,12.2,43.5,22.9,4.7,4.3,8.1,2.4,64.3716,13.9891
31,13.7,44.3,11.9,1.8,2.2,3.6,1,59.0429,9.2892
32,1.5,24.5,20.1,3.9,3.4,5.9,1.9,66.4384,13.0137
33,2.2,24.3,16.4,2.6,2.6,4.2,1.3,66.0697,3.8056
34,12,41,17,3,3.5,5.3,1.6,71.3597,7.7146
36.01,29.6,76.9,24.5,4.9,4.9,10.2,2.7,44.4176,18.4671
36.02,9.9,39.8,19.4,3.5,4,6.3,1.9,74.0779,5.7662
37,4,20,18.5,3.3,3.2,4.8,1.6,74.1877,4.0915
38,11.2,39.1,16.3,2.8,3,4.7,1.4,67.2756,14.4037
39,3.6,18.8,19.9,3.3,3.1,5.4,1.6,71.1677,1.3772
40,3.3,30.8,13.3,2.1,2.3,3.5,1.1,70.0761,8.7644
41,33.2,66.8,24.3,5.2,4.3,10.6,2.7,53.0034,19.0182
42,2.8,36.3,11.7,1.8,2.4,3.2,1,56.0338,14.3604
43,9.3,40.3,18.4,3.3,3.1,5.9,1.6,72.7236,5.0225
44,2.3,29,19.2,3.4,3.2,5.4,1.7,69.3903,9.9981
45,12.5,38.7,20,3.6,3.7,6,1.8,58.3012,7.3359
47,0,25,18.4,3.2,2.9,4.9,1.5,72.3955,3.5833
48,1.4,29.3,17.5,3.1,3.1,4.9,1.5,71.3861,6.6739
49,0.8,22.3,19.2,3.6,3.3,5.1,1.6,73.9358,8.8974
50,0.7,21.9,18,3.1,2.9,4.7,1.5,78.1712,2.6206
52,0,26.8,15.3,2.6,2.6,3.9,1.2,67.6164,3.726
54,3.4,24.3,19.6,3.5,3.1,5.3,1.6,81.4647,1.1017
55.01,2,34.2,19.5,3.5,2.9,5.1,1.6,90.5195,3.1475
55.02,4.7,20.8,17.6,3,3,4.8,1.5,72.5318,6.051
56,7,29.1,18.3,3.1,3.3,5.3,1.6,74.5763,3.7563
57,2.3,19,19.2,3.5,2.8,4.8,1.6,84.1731,2.6082
58,2.5,36.6,11.7,1.6,1.8,2.9,0.8,69.9846,5.2267
59,0.3,19,20,3.9,3.4,5.2,1.8,73.7098,6.9133
60,1.1,24,24.9,5.3,3.8,6.4,2.4,78.7976,6.204
61,0.7,26,14.6,2.5,2.7,3.7,1.2,73.6785,6.0518
62,16.8,57.4,21.6,4.1,4.1,7.4,2.1,64.6539,8.3456
63,0.5,17.4,21.4,4.2,3.5,5.6,1.9,80.5722,2.5488
64,3,27,17.6,3.1,3,4.8,1.5,73.5825,6.5367
65,3.2,24,14.4,2.5,2.6,3.7,1.2,65.8757,5.7241
66,11.4,41.4,20.4,3.8,3.9,6.7,2,74.996,9.8717
67,0.5,15.1,16,2.7,2.5,3.9,1.3,70.5625,5.3429
68,0.5,37.2,15,2.5,2.6,4,1.3,69.7357,5.5579
69,0,24.5,14.3,2.1,2.3,3.5,1.1,76.8068,4.6649
70,0.9,33,16,2.8,2.5,4.3,1.3,84.0345,2.9947
71,2.5,21.3,18.9,3.5,3.2,4.9,1.6,77.0681,5.9948
72,3.1,28.1,14.2,2.4,2.5,3.7,1.2,69.8567,6.1891
73,1.3,16.2,17.6,3.1,2.7,4.5,1.4,79.1344,4.6035
74,1.2,27.3,14.1,2.2,2.4,3.7,1.2,74.3126,6.0564
75,0.6,17.1,18.7,3.2,3,4.8,1.5,79.9033,6.4841
76,5.5,58.6,14.6,2.4,2.3,4.4,1.2,78.369,3.179
77,1.5,17.4,18.6,3.3,2.9,4.8,1.5,69.1838,4.3862
79,1.9,11.1,21.9,4.2,3.6,5.9,2,70.1771,6.2908
81,4.9,28.1,18.6,3.3,3.1,5.2,1.5,74.2639,6.7462
83,10.5,57,22,4.1,4.1,7.8,2.1,56.3006,13.1863
87,3.6,27.6,16.4,2.7,2.5,4.4,1.3,68.6134,5.6015
89,7.3,32.9,20.3,3.8,3.8,6.2,1.9,72.644,7.8582
91,6,30.7,18,3.1,3,5.1,1.5,70.808,5.1911
93,8.3,44.8,26.4,5.5,4.8,8.3,2.6,55.2466,18.4036
95,3.6,28.7,13.2,2.1,2.7,3.6,1.1,67.8169,7.8873
97,11.9,49.8,32.1,7.4,6.2,11.6,3.7,55.3266,14.2691
99,5.5,39.5,14.8,2,2.3,3.9,1.1,71.7351,5.8145
101,5.4,52.8,19,3,2.7,5.7,1.6,76.313,8.3601
103,1.6,46.7,14,2.1,2.1,3.8,1.1,71.6767,3.1396
317.03,2.2,33,15.4,2.4,2.3,3.8,1.2,75.1295,4.525
317.04,1.4,30.8,16.5,2.5,2.2,4.6,1.2,76.2924,4.2324
