boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,area,overlabel,overmodzct,overpop_es,overzcta,overarea,overmodztc,piecearea,pieceofct,perc_ct,aug6_COVID_CASE_RATE,aug6_COVID_DEATH_RATE,aug6_PERCENT_POSITIVE,may18_COVID_CASE_RATE,may18_COVID_DEATH_RATE,may18_PERCENT_POSITIVE
"1","1003001",Manhattan,E,"003001","30.01",MN27,Chinatown,"3809",1344750.5394099999684840440750122070313,4758.4608067400004074443131685256958,124932.091777216293849,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,124901.3476000000,0.9997539120,99.9753912800,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1003001",Manhattan,E,"003001","30.01",MN27,Chinatown,"3809",1344750.5394099999684840440750122070313,4758.4608067400004074443131685256958,124932.091777216293849,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,0.0842095210,0.0000006740,0.0000674040,"959.08","63.2","5.08","799.23","55.76","22.14"
"1","1003001",Manhattan,E,"003001","30.01",MN27,Chinatown,"3809",1344750.5394099999684840440750122070313,4758.4608067400004074443131685256958,124932.091777216293849,"10009","10009",57925.0000000000000000000000000000000,"10009","1571306",Alphabet City/East Village/Stuyvesant Town-Cooper Village,30.6604697800,0.0002454170,0.0245417080,"1371.96","117.45","6.89","1118.34","107.24","25.85"
"1","1001402",Manhattan,E,"001402","14.02",MN28,Lower East Side,"3809",1226206.0835299999453127384185791015625,4459.1562535399998523644171655178070,113918.788456383277662,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,113918.7884000000,0.9999999990,99.9999999500,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1002202",Manhattan,I,"002202","22.02",MN28,Lower East Side,"3809",603922.1985550000099465250968933105469,3817.3912604299998747592326253652573,56106.343579173990292,"10009","10009",57925.0000000000000000000000000000000,"10009","1571306",Alphabet City/East Village/Stuyvesant Town-Cooper Village,56086.8644500000,0.9996528170,99.9652817700,"1371.96","117.45","6.89","1118.34","107.24","25.85"
"1","1002201",Manhattan,E,"002201","22.01",MN28,Lower East Side,"3809",1740173.8306400000583380460739135742188,5779.0624663899998267879709601402283,161668.241974569973536,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,161643.7070000000,0.9998482380,99.9848238700,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1002201",Manhattan,E,"002201","22.01",MN28,Lower East Side,"3809",1740173.8306400000583380460739135742188,5779.0624663899998267879709601402283,161668.241974569973536,"10009","10009",57925.0000000000000000000000000000000,"10009","1571306",Alphabet City/East Village/Stuyvesant Town-Cooper Village,24.5433243600,0.0001518120,0.0151812890,"1371.96","117.45","6.89","1118.34","107.24","25.85"
"1","1003601",Manhattan,E,"003601","36.01",MN27,Chinatown,"3809",1068027.1780999999027699232101440429688,4185.5921642100001918151974678039551,99223.510338174673961,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,99192.4426800000,0.9996868920,99.9686892100,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1003601",Manhattan,E,"003601","36.01",MN27,Chinatown,"3809",1068027.1780999999027699232101440429688,4185.5921642100001918151974678039551,99223.510338174673961,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,31.0395763800,0.0003128240,0.0312824810,"959.08","63.2","5.08","799.23","55.76","22.14"
"1","1003002",Manhattan,E,"003002","30.02",MN22,East Village,"3809",841097.7841509999707341194152832031250,4045.1662923099997897224966436624527,78140.848365197263774,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,28.0566401900,0.0003590520,0.0359052150,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1003002",Manhattan,E,"003002","30.02",MN22,East Village,"3809",841097.7841509999707341194152832031250,4045.1662923099997897224966436624527,78140.848365197263774,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,18.2833030900,0.0002339780,0.0233978810,"959.08","63.2","5.08","799.23","55.76","22.14"
