ctlabel,EP_NOHSDP,EP_MINRTY,EP_LIMENG,CSMOKING_CrudePrev,OBESITY_CrudePrev,occ_Management,SUMF1
2.01,0.502452241,0.751465327,0.419570781,0.138179862,-0.040113853,-0.16305435,1.608500008
2.02,0.280325671,0.640515996,0.198195038,0.102717773,-0.039722499,-0.232549798,0.949482182
6,0.537371702,0.749891578,0.577199583,0.133288539,-0.032678115,-0.19500718,1.770066108
7,0.01745973,0.240783655,0,0.058695871,-0.022698571,-0.470271038,-0.176030354
8,0.540281657,0.722350964,0.608493537,0.122894479,-0.023089925,-0.186466604,1.784464107
9,0.008729865,0.27697989,0.006954212,0.055027379,-0.023676957,-0.494746918,-0.170732529
10.01,0.032979491,0.237636156,0.022021671,0.059918701,-0.029547277,-0.456021617,-0.133012875
10.02,0.354044533,0.77035032,0.277009439,0.116780326,-0.048332301,-0.200228613,1.269623702
12,0.201756884,0.376126101,0.192399861,0.08620956,-0.034047856,-0.38265252,0.43979203
13,0.00387994,0.30373363,0.020862636,0.046467564,-0.021133152,-0.535563292,-0.181752675
14.01,0.048499251,0.247078652,0.026657812,0.059307286,-0.028373213,-0.506927631,-0.153757843
14.02,0.257046031,0.541369785,0.30134918,0.100272112,-0.033460824,-0.312444042,0.854132243
15.01,0.096998502,0.324979246,0.146038449,0.062975778,-0.026025085,-0.471180744,0.133786146
15.02,0.027159581,0.238423031,0.016226494,0.054415963,-0.020937475,-0.483666666,-0.168379071
16,0.312335177,0.636581623,0.416093676,0.102717773,-0.021720184,-0.343931823,1.102076241
18,0.367624323,0.577566021,0.37552744,0.100883527,-0.025633731,-0.344440943,1.051526638
20,0.311365192,0.773497819,0.272373297,0.128397217,-0.052245848,-0.198732828,1.234654848
21,0.034919461,0.172325557,0.0197036,0.058695871,-0.025242376,-0.482911538,-0.222509425
22.01,0.192057034,0.646810994,0.241079344,0.102717773,-0.039331144,-0.259085835,0.884248166
22.02,0.068868937,0.337569241,0.114744495,0.073981253,-0.031895405,-0.445462981,0.11780554
24,0.378294158,0.773497819,0.221375744,0.144294015,-0.053615589,-0.185510854,1.278335292
25,0.47141272,0.779792816,0.373209369,0.139402692,-0.043831723,-0.151292641,1.568693235
26.01,0.230856435,0.594877264,0.143720378,0.10577485,-0.039526821,-0.277049723,0.758652383
26.02,0.119308158,0.317110499,0.126334849,0.072758423,-0.030134309,-0.449801678,0.155575941
27,0.238616315,0.652319117,0.334961204,0.069701346,-0.018785024,-0.316885352,0.959927606
28,0.150347678,0.542943535,0.103154142,0.101494943,-0.040113853,-0.304432319,0.553394126
29,0.452983005,0.69481035,0.511134571,0.119837402,-0.028764568,-0.281582464,1.468418296
30.01,0.072748877,0.347011738,0.07649633,0.075204084,-0.027786181,-0.365557556,0.178117292
30.02,0.118338173,0.342290489,0.089245719,0.082541068,-0.03228676,-0.423421534,0.176707154
31,0.132887948,0.348585487,0.069542118,0.070312762,-0.021524507,-0.388370575,0.211433233
32,0.014549775,0.192784299,0.018544565,0.062975778,-0.027003472,-0.437016468,-0.175165523
33,0.02133967,0.191210549,0.011590353,0.05747304,-0.027199149,-0.434591244,-0.180176781
34,0.116398203,0.322618622,0.044043342,0.08743239,-0.031895405,-0.469387644,0.069209508
36.01,0.287115566,0.605106635,0.220216709,0.107609096,-0.035417597,-0.292168726,0.892461683
36.02,0.096028517,0.313176126,0.047520448,0.097826451,-0.034047856,-0.487267336,0.033236349
37,0.038799401,0.157374938,0.034771059,0.061752947,-0.027786181,-0.487989576,-0.223077412
38,0.108638322,0.307668003,0.048679483,0.070312762,-0.02641644,-0.442523376,0.066358754
39,0.034919461,0.147932441,0.006954212,0.055638794,-0.028177536,-0.468124712,-0.25085734
40,0.032009506,0.242357404,0.013908424,0.060530116,-0.02348128,-0.460944419,-0.135620249
41,0.322035027,0.525632292,0.341915416,0.08743239,-0.022111539,-0.348644137,0.906259449
42,0.027159581,0.285635512,0.010431318,0.068478516,-0.022307216,-0.368577409,0.0008203
43,0.090208607,0.317110499,0.103154142,0.0678671,-0.026612117,-0.478359063,0.073369168
44,0.022309655,0.22819366,0.011590353,0.053804548,-0.025242376,-0.456433385,-0.165777545
45,0.121248128,0.304520504,0.101995107,0.073369838,-0.027981859,-0.383491844,0.189659875
47,0,0.196718672,0,0.053804548,-0.027199149,-0.476200897,-0.252876827
48,0.01357979,0.230554284,0.006954212,0.064198608,-0.026025085,-0.469561297,-0.180299488
49,0.00775988,0.175473055,0.023180706,0.062364362,-0.027590504,-0.486332635,-0.245145135
50,0.006789895,0.172325557,0.008113247,0.052581717,-0.025633731,-0.51419212,-0.300015434
52,0,0.210882416,0.01738553,0.055027379,-0.023872635,-0.44476508,-0.18534239
54,0.032979491,0.191210549,0.008113247,0.055027379,-0.026807795,-0.535856003,-0.275333132
55.01,0.0193997,0.269111143,0.004636141,0.045856149,-0.024851021,-0.595416388,-0.281264276
55.02,0.045589296,0.163669935,0.004636141,0.066032854,-0.028568891,-0.477097447,-0.225738111
56,0.067898951,0.228980534,0.024339741,0.074592669,-0.030525664,-0.490545697,-0.125259465
57,0.022309655,0.149506191,0,0.044633318,-0.024263989,-0.553671233,-0.361486058
58,0.024249626,0.287996136,0.052156589,0.053804548,-0.023089925,-0.460342553,-0.06522558
59,0.002909955,0.149506191,0.006954212,0.052581717,-0.025046699,-0.48484606,-0.297940683
60,0.010669835,0.188849925,0.01738553,0.044021903,-0.024851021,-0.518312434,-0.282236263
61,0.006789895,0.204587419,0.009272282,0.058695871,-0.02348128,-0.484640175,-0.228775988
62,0.162957484,0.451666071,0.061428871,0.083152483,-0.031699728,-0.425278439,0.302226743
63,0.004849925,0.136916196,0.004636141,0.052581717,-0.027199149,-0.529985344,-0.358200513
64,0.029099551,0.212456166,0.015067459,0.058084455,-0.025633731,-0.48400871,-0.19493481
65,0.031039521,0.188849925,0.012749388,0.060530116,-0.024068312,-0.433315157,-0.164214518
66,0.110578292,0.325766121,0.126334849,0.075204084,-0.028764568,-0.493306386,0.115812392
67,0.004849925,0.118818078,0,0.054415963,-0.025633731,-0.464143846,-0.311693611
68,0.004849925,0.292717384,0.005795177,0.059307286,-0.024459667,-0.458705347,-0.120495242
69,0,0.192784299,0.005795177,0.058084455,-0.02641644,-0.505217411,-0.274969921
70,0.008729865,0.259668647,0.023180706,0.055027379,-0.024263989,-0.552759554,-0.230416946
71,0.024249626,0.167604309,0,0.05747304,-0.026220763,-0.506936182,-0.283829971
72,0.030069536,0.221111787,0.081132472,0.060530116,-0.023676957,-0.459501257,-0.090334303
73,0.012609805,0.127473699,0,0.051970302,-0.026612117,-0.520527827,-0.355086137
74,0.01163982,0.21481679,0.022021671,0.058084455,-0.023676957,-0.488811139,-0.20592536
75,0.00581991,0.134555572,0.001159035,0.056861625,-0.027786181,-0.525585474,-0.354975513
76,0.053349176,0.461108567,0.061428871,0.05747304,-0.022307216,-0.515493202,0.095559236
77,0.014549775,0.136916196,0.003477106,0.054415963,-0.027394827,-0.455075076,-0.273110862
79,0.018429715,0.08734309,0,0.058084455,-0.029155923,-0.461608774,-0.326907436
81,0.047529266,0.221111787,0.028975883,0.061141532,-0.028568891,-0.488490802,-0.158301224
83,0.101848427,0.448518572,0.086927648,0.088043806,-0.034830565,-0.370332358,0.32017553
87,0.034919461,0.217177414,0.033612024,0.059307286,-0.027003472,-0.451323116,-0.133310404
89,0.070808907,0.258881772,0.025498777,0.077649745,-0.031895405,-0.477835473,-0.076891677
91,0.058199101,0.241570529,0.01738553,0.065421439,-0.028960245,-0.465758689,-0.112142335
93,0.080508757,0.35251986,0.097358966,0.071535592,-0.033656501,-0.363399389,0.204867284
95,0.034919461,0.225833036,0.011590353,0.068478516,-0.025438053,-0.446083923,-0.130700611
97,0.115428218,0.391863595,0.097358966,0.078261161,-0.036004629,-0.363925611,0.282981699
99,0.053349176,0.310815502,0.05679273,0.064810024,-0.029547277,-0.471856939,-0.015636784
101,0.052379191,0.415469835,0.082291507,0.065421439,-0.028177536,-0.501969309,0.085415128
103,0.01551976,0.367470479,0.010431318,0.056861625,-0.024068312,-0.471472797,-0.045257927
317.03,0.02133967,0.259668647,0.012749388,0.056250209,-0.025633731,-0.494184519,-0.169810334
317.04,0.01357979,0.242357404,0.012749388,0.04830181,-0.024459667,-0.501833807,-0.20930508
